id;ten_ncc;so_dt;email;dia_chi;ghi_chu
1;asynchronous Metal background;bandwidth;Katelyn.Lowe@gmail.com;Sausages Architect multi-byte;Salad applications intranet
2;Loan JBOD interfaces;Total Incredible Vermont;Stephany.Kris@yahoo.com;Guyana;capacitor
3;cross-platform Dollar input;Manager Fresh Sleek;Katrina.Frami16@yahoo.com;orchestrate eyeballs;THX drive strategy
4;Buckinghamshire Locks;help-desk repurpose;Penelope56@yahoo.com;Frozen Towels;Producer turquoise Mariana
5;District;SMTP Shoes Architect;Stewart.Stamm9@gmail.com;Kids;back-end
6;Louisiana;streamline;Orville.Nader96@hotmail.com;District Administrator;innovative
7;orange Reverse-engineered Fresh;port Belgium Granite;Charles13@gmail.com;up Delaware;Gloves mission-critical
8;Frozen Forest Rustic;transmitter;Julius.Wilkinson92@yahoo.com;Ball parse compress;HTTP Small Home
9;Bike navigate;Handcrafted;Coty36@hotmail.com;Berkshire indexing generate;function
10;methodologies redundant Kenyan;models;Donny.Reynolds20@yahoo.com;programming Handcrafted monitoring;TCP
