id;ngay_lap;tong_tien_hang;v_at;phi_ship;giam_gia;tong_tien_thanh_toan;tien_no;ghi_chu
1;2023-10-17T06:06:15;76760;34068;42911;55799;15624;62853;Fantastic Borders
2;2023-10-16T19:12:23;48656;28242;57626;13505;17924;81469;Analyst interface
3;2023-10-16T18:12:41;57799;19772;26931;31684;50118;39115;withdrawal composite scalable
4;2023-10-17T12:20:46;59930;24955;17312;77637;68013;21809;interface
5;2023-10-17T09:18:34;87962;9651;58188;47817;38755;99973;reintermediate Granite
6;2023-10-17T09:02:37;50307;7697;69679;67648;65806;4546;Product monetize Unbranded
7;2023-10-17T08:18:51;93025;49200;15766;81049;6537;49334;New Arizona microchip
8;2023-10-16T23:42:08;21526;14676;99367;50669;15162;70874;dot-com
9;2023-10-16T19:49:40;16127;7247;67449;83500;16126;23604;communities Intuitive
10;2023-10-16T16:35:03;63852;70209;4445;21393;63002;67701;Electronics wireless
