id;hinh_anh;ten_nguyen_lieu;gia_nhap;mo_ta;don_vi_tinh;v_at
1;Fantastic pricing lavender;deposit array;7985;firewall Shilling;Cape;76240
2;Architect;transparent;28978;Program;Massachusetts Administrator Guyana;23756
3;Niger wireless;mindshare New;57883;Computer Mews;Chair Refined;26506
4;Borders Refined Fresh;lavender expedite disintermediate;2350;initiatives port;pink Unbranded;89126
5;payment black green;Market e-markets;22798;Small Facilitator;scale navigate Kong;53819
6;withdrawal Investment Legacy;Decentralized compress;42171;whiteboard Balanced maroon;pixel;57717
7;transmitting Computer;Internal copy Savings;11702;drive;task-force Savings withdrawal;36908
8;Guiana Configuration;azure;57482;Mouse Tajikistan;back;9259
9;Plastic;Customer;55185;JBOD copying;Agent;37009
10;open-source;Direct User-friendly;72999;Grocery Arizona;Computer Loan Progressive;17358
