id;ten_kho;dia_chi;loai;ngay_tao
1;demand-driven payment Licensed;open-source;primary Shirt;2023-10-17T05:16:07
2;SMTP;salmon 24/365 paradigm;Pants;2023-10-16T22:59:49
3;Rufiyaa Chair;HDD Strategist copying;index;2023-10-17T08:21:27
4;Sleek;invoice;line payment;2023-10-17T09:59:33
5;synthesize;database generation;Refined transmitting;2023-10-16T21:54:59
6;Clothing Forward Architect;virtual;parsing Illinois SQL;2023-10-17T10:47:18
7;interface solutions;primary;connecting Cuban Account;2023-10-17T01:19:28
8;bus;Plastic applications;Paradigm Director eco-centric;2023-10-16T16:36:28
9;generate;programming Fresh analyzer;USB;2023-10-16T21:39:46
10;Sleek;Bacon reinvent indexing;payment;2023-10-17T12:21:05
