id;ngay_lap;tong_tien_hang;v_at;phi_ship;giam_gia;tong_tien_thanh_toan;tien_no;ghi_chu
1;2023-10-16T17:49:46;89924;86921;70207;85358;67857;38811;Internal
2;2023-10-17T05:45:13;81422;63675;96551;91592;13060;5574;Metal Savings
3;2023-10-17T08:23:21;88330;64542;13568;85057;69162;42708;Berkshire Platinum Borders
4;2023-10-17T00:46:29;7136;88799;78888;35091;93948;70313;whiteboard neural
5;2023-10-17T06:32:08;63315;85044;2077;75639;43659;90960;bifurcated Pants
6;2023-10-17T15:01:42;35399;41480;2495;99590;51825;40497;Berkshire
7;2023-10-17T05:09:23;25654;81089;14712;68157;62305;3670;Bedfordshire Handmade
8;2023-10-17T05:40:52;10887;60054;65016;30985;41288;26008;back-end Electronics
9;2023-10-16T16:18:42;47041;2098;47039;67041;43850;65283;input intuitive
10;2023-10-17T07:20:18;67556;21550;9331;6822;64924;16876;Frozen deposit Division
